series,year,persons,geography,boundary,population_universe,source_table,source_locator,source_note_locator,raw_stored_value,number_format
ons-current,1858,19471291,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B169,"Notes!B20:B21","19471291","#,##0"
ons-current,1859,19686701,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B168,"Notes!B20:B21","19686701","#,##0"
ons-current,1860,19902713,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B167,"Notes!B20:B21","19902713","#,##0"
ons-current,1861,20119314,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B166,"Notes!B20:B21","20119314","#,##0"
ons-current,1862,20371013,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B165,"Notes!B20:B21","20371013","#,##0"
ons-current,1863,20625855,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B164,"Notes!B20:B21","20625855","#,##0"
ons-current,1864,20883889,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B163,"Notes!B20:B21","20883889","#,##0"
ons-current,1865,21145151,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B162,"Notes!B20:B21","21145151","#,##0"
ons-current,1866,21409684,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B161,"Notes!B20:B21","21409684","#,##0"
ons-current,1867,21677525,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B160,"Notes!B20:B21","21677525","#,##0"
ons-current,1868,21948713,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B159,"Notes!B20:B21","21948713","#,##0"
ons-current,1869,22223299,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B158,"Notes!B20:B21","22223299","#,##0"
ons-current,1870,22501316,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B157,"Notes!B20:B21","22501316","#,##0"
ons-current,1871,22788466,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B156,"Notes!B20:B21","22788466","#,##0"
ons-current,1872,23096500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B155,"Notes!B20:B21","23096500","#,##0"
ons-current,1873,23408600,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B154,"Notes!B20:B21","23408600","#,##0"
ons-current,1874,23724800,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B153,"Notes!B20:B21","23724800","#,##0"
ons-current,1875,24045400,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B152,"Notes!B20:B21","24045400","#,##0"
ons-current,1876,24370300,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B151,"Notes!B20:B21","24370300","#,##0"
ons-current,1877,24699500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B150,"Notes!B20:B21","24699500","#,##0"
ons-current,1878,25033300,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B149,"Notes!B20:B21","25033300","#,##0"
ons-current,1879,25371500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B148,"Notes!B20:B21","25371500","#,##0"
ons-current,1880,25714300,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B147,"Notes!B20:B21","25714300","#,##0"
ons-current,1881,26046100,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B146,"Notes!B20:B21","26046100","#,##0"
ons-current,1882,26334900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B145,"Notes!B20:B21","26334900","#,##0"
ons-current,1883,26626900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B144,"Notes!B20:B21","26626900","#,##0"
ons-current,1884,26922200,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B143,"Notes!B20:B21","26922200","#,##0"
ons-current,1885,27220700,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B142,"Notes!B20:B21","27220700","#,##0"
ons-current,1886,27522500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B141,"Notes!B20:B21","27522500","#,##0"
ons-current,1887,27827700,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B140,"Notes!B20:B21","27827700","#,##0"
ons-current,1888,28136300,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B139,"Notes!B20:B21","28136300","#,##0"
ons-current,1889,28448200,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B138,"Notes!B20:B21","28448200","#,##0"
ons-current,1890,28763700,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B137,"Notes!B20:B21","28763700","#,##0"
ons-current,1891,29085800,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B136,"Notes!B20:B21","29085800","#,##0"
ons-current,1892,29421400,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B135,"Notes!B20:B21","29421400","#,##0"
ons-current,1893,29760800,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B134,"Notes!B20:B21","29760800","#,##0"
ons-current,1894,30104200,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B133,"Notes!B20:B21","30104200","#,##0"
ons-current,1895,30451500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B132,"Notes!B20:B21","30451500","#,##0"
ons-current,1896,30802900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B131,"Notes!B20:B21","30802900","#,##0"
ons-current,1897,31158200,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B130,"Notes!B20:B21","31158200","#,##0"
ons-current,1898,31517700,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B129,"Notes!B20:B21","31517700","#,##0"
ons-current,1899,31881400,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B128,"Notes!B20:B21","31881400","#,##0"
ons-current,1900,32249200,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B127,"Notes!B20:B21","32249200","#,##0"
ons-current,1901,32612000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B126,"Notes!B20:B21","32612000","#,##0"
ons-current,1902,32950900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B125,"Notes!B20:B21","32950900","#,##0"
ons-current,1903,33293300.000000004,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B124,"Notes!B20:B21","33293300.000000004","#,##0"
ons-current,1904,33639300,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B123,"Notes!B20:B21","33639300","#,##0"
ons-current,1905,33988800,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B122,"Notes!B20:B21","33988800","#,##0"
ons-current,1906,34342000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B121,"Notes!B20:B21","34342000","#,##0"
ons-current,1907,34698900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B120,"Notes!B20:B21","34698900","#,##0"
ons-current,1908,35059500,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B119,"Notes!B20:B21","35059500","#,##0"
ons-current,1909,35423800,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B118,"Notes!B20:B21","35423800","#,##0"
ons-current,1910,35791900,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","England and Wales excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 7,B117,"Notes!B20:B21","35791900","#,##0"
ons-current,1911,36136000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","source-defined England and Wales population; earlier exclusion note is not repeated",Table 7,B116,"Notes!B20:B21","36136000","#,##0"
ons-current,1912,36327000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","source-defined England and Wales population; earlier exclusion note is not repeated",Table 7,B115,"Notes!B20:B21","36327000","#,##0"
ons-current,1913,36574000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","source-defined England and Wales population; earlier exclusion note is not repeated",Table 7,B114,"Notes!B20:B21","36574000","#,##0"
ons-current,1914,36967000,england-and-wales-aggregate,"England and Wales aggregate; never split into England and Wales","source-defined England and Wales population; earlier exclusion note is not repeated",Table 7,B113,"Notes!B20:B21","36967000","#,##0"
ons-current,1855,2978065,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B172,"unavailable","2978065","#,##0"
ons-current,1856,2995771,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B171,"unavailable","2995771","#,##0"
ons-current,1857,3012310,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B170,"unavailable","3012310","#,##0"
ons-current,1858,3027665,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B169,"unavailable","3027665","#,##0"
ons-current,1859,3041812,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B168,"unavailable","3041812","#,##0"
ons-current,1860,3054738,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B167,"unavailable","3054738","#,##0"
ons-current,1861,3069403,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B166,"unavailable","3069403","#,##0"
ons-current,1862,3098008,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B165,"unavailable","3098008","#,##0"
ons-current,1863,3126879,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B164,"unavailable","3126879","#,##0"
ons-current,1864,3156023,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B163,"unavailable","3156023","#,##0"
ons-current,1865,3185439,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B162,"unavailable","3185439","#,##0"
ons-current,1866,3215130,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B161,"unavailable","3215130","#,##0"
ons-current,1867,3245101,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B160,"unavailable","3245101","#,##0"
ons-current,1868,3275353,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B159,"unavailable","3275353","#,##0"
ons-current,1869,3305889,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B158,"unavailable","3305889","#,##0"
ons-current,1870,3336712,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B157,"unavailable","3336712","#,##0"
ons-current,1871,3368926,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B156,"unavailable","3368926","#,##0"
ons-current,1872,3404799,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B155,"unavailable","3404799","#,##0"
ons-current,1873,3441057,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B154,"unavailable","3441057","#,##0"
ons-current,1874,3477704,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B153,"unavailable","3477704","#,##0"
ons-current,1875,3514744,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B152,"unavailable","3514744","#,##0"
ons-current,1876,3552182,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B151,"unavailable","3552182","#,##0"
ons-current,1877,3590021,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B150,"unavailable","3590021","#,##0"
ons-current,1878,3628268,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B149,"unavailable","3628268","#,##0"
ons-current,1879,3666923,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B148,"unavailable","3666923","#,##0"
ons-current,1880,3705994,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B147,"unavailable","3705994","#,##0"
ons-current,1881,3742564,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B146,"unavailable","3742564","#,##0"
ons-current,1882,3770656,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B145,"unavailable","3770656","#,##0"
ons-current,1883,3798961,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B144,"unavailable","3798961","#,##0"
ons-current,1884,3827476,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B143,"unavailable","3827476","#,##0"
ons-current,1885,3856207,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B142,"unavailable","3856207","#,##0"
ons-current,1886,3885154,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B141,"unavailable","3885154","#,##0"
ons-current,1887,3914318,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B140,"unavailable","3914318","#,##0"
ons-current,1888,3943701,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B139,"unavailable","3943701","#,##0"
ons-current,1889,3973304,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B138,"unavailable","3973304","#,##0"
ons-current,1890,4003131,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B137,"unavailable","4003131","#,##0"
ons-current,1891,4036245,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B136,"unavailable","4036245","#,##0"
ons-current,1892,4078910,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B135,"unavailable","4078910","#,##0"
ons-current,1893,4122029,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B134,"unavailable","4122029","#,##0"
ons-current,1894,4165606,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B133,"unavailable","4165606","#,##0"
ons-current,1895,4209645,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B132,"unavailable","4209645","#,##0"
ons-current,1896,4254153,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B131,"unavailable","4254153","#,##0"
ons-current,1897,4299132,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B130,"unavailable","4299132","#,##0"
ons-current,1898,4344589,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B129,"unavailable","4344589","#,##0"
ons-current,1899,4390530,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B128,"unavailable","4390530","#,##0"
ons-current,1900,4436958,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B127,"unavailable","4436958","#,##0"
ons-current,1901,4479104,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B126,"unavailable","4479104","#,##0"
ons-current,1902,4507220,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B125,"unavailable","4507220","#,##0"
ons-current,1903,4535513,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B124,"unavailable","4535513","#,##0"
ons-current,1904,4563985,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B123,"unavailable","4563985","#,##0"
ons-current,1905,4592636,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B122,"unavailable","4592636","#,##0"
ons-current,1906,4621466,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B121,"unavailable","4621466","#,##0"
ons-current,1907,4650478,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B120,"unavailable","4650478","#,##0"
ons-current,1908,4679671,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B119,"unavailable","4679671","#,##0"
ons-current,1909,4709048,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B118,"unavailable","4709048","#,##0"
ons-current,1910,4738611,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B117,"unavailable","4738611","#,##0"
ons-current,1911,4751132,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B116,"unavailable","4751132","#,##0"
ons-current,1912,4741477,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B115,"unavailable","4741477","#,##0"
ons-current,1913,4728932,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B114,"unavailable","4728932","#,##0"
ons-current,1914,4748167,scotland,"Scotland as separately reported by ONS","source-defined Scotland population; historical coverage exclusions are not quantified in Table 14",Table 14,B113,"unavailable","4748167","#,##0"
ons-current,1851,27368800,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B158,"Notes!B14:B15","27368800","#,##0"
ons-current,1861,28917900,united-kingdom-historical,"UK total including all Ireland","UK total including all Ireland, excluding British Sea Islands and stated portions of Armed Forces and Merchant Service abroad",Table 1,B157,"Notes!B14:B15","28917900","#,##0"
