year,agricultureOutputCurrentPrices,agricultureOutputCurrentPrices_state,fishingOutputCurrentPrices,fishingOutputCurrentPrices_state,industryOutputCurrentPrices,industryOutputCurrentPrices_state,servicesOutputCurrentPrices,servicesOutputCurrentPrices_state,grossDomesticProductOutputCurrentPrices,grossDomesticProductOutputCurrentPrices_state,foreignIncomeOutputCurrentPrices,foreignIncomeOutputCurrentPrices_state,grossNationalProductOutputCurrentPrices,grossNationalProductOutputCurrentPrices_state,grossDomesticProductPrimaryCompositionShare,grossDomesticProductPrimaryCompositionShare_state,grossDomesticProductSecondaryCompositionShare,grossDomesticProductSecondaryCompositionShare_state,grossDomesticProductTertiaryCompositionShare,grossDomesticProductTertiaryCompositionShare_state,wagesIncomeCurrentPrices,wagesIncomeCurrentPrices_state,capitalIncomeCurrentPrices,capitalIncomeCurrentPrices_state,profitIncomeCurrentPrices,profitIncomeCurrentPrices_state,depreciationIncomeCurrentPrices,depreciationIncomeCurrentPrices_state,indirectTaxesIncomeCurrentPrices,indirectTaxesIncomeCurrentPrices_state,grossNationalIncomeCurrentPrices,grossNationalIncomeCurrentPrices_state,grossDomesticIncomeCurrentPrices,grossDomesticIncomeCurrentPrices_state,grossNationalIncomeWagesCompositionShare,grossNationalIncomeWagesCompositionShare_state,grossNationalIncomeCapitalCompositionShare,grossNationalIncomeCapitalCompositionShare_state,grossNationalIncomeProfitCompositionShare,grossNationalIncomeProfitCompositionShare_state,publicConsumptionExpenditureCurrentPrices,publicConsumptionExpenditureCurrentPrices_state,publicInvestmentExpenditureCurrentPrices,publicInvestmentExpenditureCurrentPrices_state,privateConsumptionExpenditureCurrentPrices,privateConsumptionExpenditureCurrentPrices_state,privateInvestmentExpenditureCurrentPrices,privateInvestmentExpenditureCurrentPrices_state,stockBuildingExpenditureCurrentPrices,stockBuildingExpenditureCurrentPrices_state,goodsBalanceExpenditureCurrentPrices,goodsBalanceExpenditureCurrentPrices_state,servicesBalanceExpenditureCurrentPrices,servicesBalanceExpenditureCurrentPrices_state,indirectTaxesExpenditureCurrentPrices,indirectTaxesExpenditureCurrentPrices_state,grossDomesticExpenditureCurrentPrices,grossDomesticExpenditureCurrentPrices_state,foreignIncomeExpenditureCurrentPrices,foreignIncomeExpenditureCurrentPrices_state,grossNationalExpenditureCurrentPrices,grossNationalExpenditureCurrentPrices_state,grossDomesticExpenditureInvestmentCompositionShare,grossDomesticExpenditureInvestmentCompositionShare_state,grossDomesticExpenditureConsumptionCompositionShare,grossDomesticExpenditureConsumptionCompositionShare_state,grossDomesticExpenditureStockBuildingCompositionShare,grossDomesticExpenditureStockBuildingCompositionShare_state,grossDomesticExpenditureNetExportsCompositionShare,grossDomesticExpenditureNetExportsCompositionShare_state,expenditureDeflator,expenditureDeflator_state,outputDeflator,outputDeflator_state,incomeDeflator,incomeDeflator_state,population,grossDomesticIncomePerCapitaCurrentPrices,grossDomesticIncomePerCapitaCurrentPrices_state,grossDomesticProductPerCapitaCurrentPrices,grossDomesticProductPerCapitaCurrentPrices_state,grossDomesticExpenditurePerCapitaCurrentPrices,grossDomesticExpenditurePerCapitaCurrentPrices_state,grossDomesticIncomePerCapitaConstantPrices,grossDomesticIncomePerCapitaConstantPrices_state,grossDomesticProductPerCapitaConstantPrices,grossDomesticProductPerCapitaConstantPrices_state,grossDomesticExpenditurePerCapitaConstantPrices,grossDomesticExpenditurePerCapitaConstantPrices_state
1810,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,179.31063746751772,,218.64333391051542,,107.6839906975233,,34.10489236790607,,31.181741816485193,,570.9245962599477,,570.9245962599477,,0.35462257764721333,,0.43241083603181674,,0.2129665863209699,,25.34034447539673,,1.5641428004625362,,,blank,31.07085719953746,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2161439,,blank,,blank,,blank,,blank,,blank,,blank
1811,,blank,,blank,,blank,,blank,,blank,31.04137473027433,,,blank,,blank,,blank,,blank,180.18740776650102,,241.872138810043,,119.12440539472624,,31.862230919765164,,26.261095686452403,,599.3072785774879,,568.2659038472135,,0.33295038980769076,,0.446931469288807,,0.2201181409035022,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2165902,,blank,,blank,,blank,,blank,,blank,,blank
1812,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,181.07652277110006,,174.14264096653017,,85.76696208610134,,31.59051383399209,,,blank,472.5766396577236,,472.5766396577236,,0.4106172783392259,,0.3948936956718168,,0.19448902598895737,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2170531,,blank,,blank,,blank,,blank,,blank,,blank
1813,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,182.49338625288348,,116.9386532335498,,57.59343594777147,,30.512820512820507,,,blank,387.53829594702523,,387.53829594702523,,0.5111494803863504,,0.3275358798733681,,0.1613146397402815,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,2181494,,blank,,blank,,blank,,blank,,blank,,blank
1814,120.08635520463257,,1.496,,86.74517762023875,,,blank,,blank,10.274200088159704,,,blank,,blank,,blank,,blank,183.27311882387153,,77.49817159728619,,38.168611135305554,,29.307465618860512,,34.625238737657256,,362.87260591298104,,352.5984058248213,,0.6130768019579855,,0.25924331677967205,,0.1276798812623424,,29.739982756210885,,1.8357122161133896,,300.0921348567616,,28.98928778388661,,8.1,,-8.598340484069453,,1.1260758228496495,,34.625238737657256,,395.91009168940997,,10.274200088159704,,406.1842917775697,,0.08532048810835831,,0.9129420038459777,,0.0224199822766489,,-0.020682474230984925,,,blank,,blank,,blank,2184849,,blank,,blank,,blank,,blank,,blank,,blank
1815,117.21183072160215,,2.04,,113.76863756058783,,237.9331386190675,,470.9536069012575,,17.987517649186184,,488.9411245504437,,0.25321354157630455,,0.2415707957077843,,0.5052156627159111,,186.52446594728912,,141.22290170897534,,69.553666978617,,26.875706214689266,,32.36192130097597,,456.5386621505467,,438.5511445013605,,0.46947893331993096,,0.3554556605641835,,0.17506540611588545,,51.394818445377126,,3.172365526856446,,345.07739851811897,,27.732634473143555,,30.3,,-14.676926281366292,,-9.457715809208512,,32.36192130097597,,465.90449617389726,,17.987517649186184,,483.89201382308346,,0.07128480982302322,,0.914494307922835,,0.06988932980545555,,-0.055668447551313914,,112.97327551245841,,117.92181436131594,,112.97327551245841,,2217626,197.75703590297033,,212.36836459405575,,210.09155564278976,,175.04762520686776,,180.09251786387273,,185.96571152760936,
1816,134.7311810306985,,1.768,,124.2860898269643,,247.49089558746692,,508.2761664451297,,37.541150175097634,,545.8173166202273,,0.2685531804203416,,0.24452472500573455,,0.4869220945739239,,189.0828693404918,,149.73865518500565,,73.7477592552677,,25.124914675767915,,33.88205109308618,,471.57624954961926,,434.0350993745216,,0.4583057362093112,,0.3629418404899361,,0.1787524233007527,,33.28305635303729,,2.054409837346029,,390.6987441952758,,30.18459016265397,,19.5,,-18.023365084309575,,-7.1374604722499,,33.88205109308618,,484.4420260848398,,37.541150175097634,,521.9831762599374,,0.0715531822385911,,0.9410107956350828,,0.04327947683403724,,-0.055843454707711175,,119.914000161156,,131.75407539000713,,119.914000161156,,2248563,193.02776901270795,,226.04488575375905,,215.4451647940662,,160.97183711100638,,171.5657637797088,,179.66639800567324,
1817,158.6264006576458,,1.904,,117.16551490205286,,273.3755817492386,,551.0714973089373,,40.25683552965446,,591.3283328385918,,0.29130594023020306,,0.21261399922552784,,0.49608006054426906,,190.50193126771245,,137.29808230124885,,67.62065484862427,,26.445350734094617,,32.20237583600621,,454.06839498768636,,413.8115594580319,,0.4817702929643833,,0.34722029794420023,,0.17100940909141657,,31.203744836284102,,1.9260635103256496,,420.90106821958454,,34.517936489674355,,30.8,,3.195508598491571,,-8.167491642709697,,32.20237583600621,,546.5792058476567,,40.25683552965446,,586.8360413773112,,0.07085078073826645,,0.8789369712582673,,0.05987828028587989,,-0.009666032282413483,,129.2537792547028,,140.37131499217256,,129.2537792547028,,2266016,182.6163449234392,,243.18958794154025,,241.20712556648172,,141.28511056035123,,173.24735324670934,,186.61514344672872,
1818,140.6721007147372,,0.952,,123.58569365484969,,259.44690266379484,,524.6566970333818,,29.19640832004339,,553.8531053534251,,0.2699367062605631,,0.23555535334563057,,0.4945079403938063,,192.2375812487395,,135.30808497971935,,66.64056161080627,,28.303448275862074,,32.47705702262937,,454.9667331377566,,425.77032481771323,,0.487682135173751,,0.34325929072005296,,0.169058574106196,,30.425106928028317,,1.8780017770075423,,399.86721815928223,,36.54999822299246,,9.9,,-29.213616654732135,,-4.290128500356123,,32.47705702262937,,477.59363695485166,,29.19640832004339,,506.7900452748951,,0.08633243903395244,,0.9666957927130707,,0.022241364276988893,,-0.07526959602401209,,115.1618135984852,,130.1255775794135,,115.1618135984852,,2291116,185.835341736391,,228.99612984824066,,208.45458586769578,,161.36889124055566,,175.9808748656567,,181.0101624436711,
1819,122.62240640172054,,0.816,,104.3844113190919,,226.78903496391777,,454.61185268473025,,27.448095747472365,,482.05994843220265,,0.27152483084800716,,0.22961216409700974,,0.498863005054983,,194.87227873555332,,140.8793003444828,,69.38443992981608,,28.83672787979966,,32.0639530372671,,466.0366999269189,,438.5886041794465,,0.48100457523332274,,0.34773333827189745,,0.17126208649477986,,27.823698903769362,,1.7174288362505319,,368.78187969755044,,34.78157116374947,,24.7,,-42.01766665232654,,-3.9917686468121847,,32.0639530372671,,443.85909633944806,,27.448095747472365,,471.3071920869204,,0.08863387680416748,,0.9631137837638001,,0.05998128050255998,,-0.1117289410705273,,103.8358020850401,,116.74504536979204,,103.8358020850401,,2319601,189.07933053117605,,195.9870911784959,,191.35148516466757,,182.09454420771237,,167.87615316581807,,184.28276309548158,
1820,114.47140641324741,,0.68,,114.06708972910454,,216.48728099443647,,445.70577713678847,,38.38210759342771,,484.08788473021616,,0.2583574463696195,,0.2559246381365548,,0.4857179154938256,,196.67813198491072,,144.97822667318306,,63.43635972291287,,28.497035881435263,,33.78799196706237,,467.3777462295043,,428.9956386360766,,0.4855138664821092,,0.35788899699950905,,0.15659713651838175,,30.11053231707676,,1.8585845345384864,,351.4592332352284,,36.24341546546151,,42.9,,-44.713270340198726,,-5.491529249456253,,33.78799196706237,,446.1549579297125,,38.38210759342771,,484.5370655231402,,0.09239828391940362,,0.9253160341336983,,0.10403355152334302,,-0.1217478695764448,,100.31497535714405,,105.62947789155564,,100.31497535714405,,2346663,182.8109271063108,,189.93173588912788,,190.12314845792196,,182.23692569874285,,179.80940517771094,,189.5261876714224,
1821,88.77315695480327,,0.816,,114.81513212553607,,205.69394785988965,,410.09823694022896,,37.20301607837689,,447.30125301860585,,0.21845779592527417,,0.2799698262108602,,0.5015723778638657,,187.6227379491483,,139.27708287268416,,64.37548593342756,,27.730048465266556,,33.97489253140869,,452.9802477519353,,415.7772316735584,,0.4795159181013818,,0.3559567406071986,,0.16452734129141958,,28.707528722159086,,1.7719835818898668,,344.6637869384221,,32.92001641811013,,28.1,,-47.09561553146538,,-1.8669799730117846,,33.97489253140869,,421.17561268751274,,37.20301607837689,,458.37862876588963,,0.08959694079601287,,0.9642836291989659,,0.07257217907206162,,-0.1264527490670404,,93.78238513938165,,97.643242494994,,93.78238513938165,,2383111,174.46826088820805,,172.08524359135137,,176.7335271783449,,186.0352139998456,,176.23876388596364,,188.4506636461413,
1822,80.61832045804196,,0.544,,117.90476953618811,,206.87709813725763,,405.9441881314877,,34.92342502321286,,440.86761315470056,,0.1999346777980056,,0.29044576319441745,,0.509619559007577,,186.00395040573252,,125.4569514667054,,65.23649157453478,,27.18435582822086,,34.43439650853184,,438.31614578372546,,403.3927207605126,,0.49377551754128635,,0.33304438429666444,,0.17318009816204913,,29.4711676808786,,1.8191194991065227,,328.464833277982,,33.92988050089348,,22.1,,-26.53464835350816,,-2.0353726224488655,,34.43439650853184,,421.6493764914355,,34.92342502321286,,456.57280151464835,,0.09232339100511658,,0.9243857274702136,,0.05707423819444114,,-0.07378335666977154,,92.41097329095543,,94.43839326383832,,92.41097329095543,,2416647,166.92248423560108,,167.97827242931538,,174.47702394740958,,180.63058778749854,,177.87074369215938,,188.80552572265378,
1823,90.64001743521773,,0.544,,132.41741138521965,,220.94322287130146,,444.54465169173886,,43.56530395878636,,488.1099556505252,,0.20511779207828051,,0.29787201551362275,,0.4970101924080967,,184.6137522164571,,129.0620750709034,,66.15603398846038,,26.726726726726728,,30.7436825297645,,437.3022705323121,,393.7369665735257,,0.4860407223247576,,0.3397873854957706,,0.17417189217947185,,33.89741489997162,,3.0243860807009475,,358.5308898522941,,33.53161391929905,,10.7,,-57.41453732414888,,-4.348855527443638,,30.7436825297645,,408.66459443043766,,43.56530395878636,,452.229898389224,,0.09672923315132084,,1.0383873778739332,,0.02831280213150052,,-0.16342941315675447,,95.75200150416151,,97.12595097568,,95.75200150416151,,2452365,160.55398220637045,,181.27181381716787,,166.6410156850378,,167.6768941476305,,186.63581874483546,,174.03397638408146,
1824,80.4745819525573,,0.816,,117.04919222281039,,214.29924274415697,,412.6390169195247,,43.04153832705937,,455.68055524658405,,0.19700168578196053,,0.2836600210436184,,0.5193382931744209,,184.82530719261294,,124.09397835781421,,67.26478806997895,,26.920179372197307,,31.65708932148203,,434.7613423140855,,391.7198039870261,,0.49131614056344536,,0.3298756833683315,,0.17880817606822302,,37.42006172287211,,1.5450952927357267,,319.16183140112213,,36.07890470726428,,-14.5,,-34.3033941841197,,-0.6997773436130359,,31.65708932148203,,376.35981091774346,,43.04153832705937,,419.4013492448028,,0.10914912370221351,,1.034462076402305,,-0.04206523213061067,,-0.10154596797390757,,88.6391269445894,,89.2248628615731,,88.6391269445894,,2495136,156.99336789137993,,165.37736496909375,,150.8373936000857,,177.11520104380148,,185.34897075231888,,170.17021579463213,
1825,94.93605740207529,,0.884,,121.05230119084527,,224.76222538443656,,441.6345839773571,,45.112110961386996,,486.7466949387441,,0.21696683384512305,,0.27410059262263686,,0.5089325735322401,,194.33618503159943,,137.00989671681103,,68.24227706011337,,29.521293375394325,,33.083311138445566,,462.19296332236377,,417.0808523609768,,0.4863409575070282,,0.34287759814960955,,0.17078144434336223,,36.760826923997,,1.9730803223358264,,335.08802787928875,,36.07991967766417,,-21.5,,-32.34214835879262,,0.37988708507138913,,33.083311138445566,,389.52290466801014,,45.112110961386996,,434.6350156293971,,0.10675862247285312,,1.043231059493516,,-0.060318776001007594,,-0.08967090596536142,,94.35215215121904,,96.50332677863841,,94.35215215121904,,2533014,164.65793412945084,,174.3514184988149,,153.77842549153306,,174.51423245285608,,180.6688166292404,,162.9834847275884,
1826,96.89522653726883,,1.02,,120.93844780522286,,217.27639819510128,,436.1300725375929,,51.38495109832146,,487.51502363591436,,0.2245092294772424,,0.2772990339821118,,0.4981917365406459,,200.72332254830008,,148.10291201646373,,68.72590562366065,,30.466960352422916,,32.31390299991121,,480.33300354075857,,428.94805244243713,,0.48071439044168646,,0.3546932173539593,,0.1645923922043542,,36.09894241520409,,1.7084816333378692,,342.2886105617676,,37.32251836666213,,-32.1,,-31.745641059443187,,1.2121117708501554,,32.31390299991121,,387.0989266882898,,51.38495109832146,,438.48387778661123,,0.11001309918392281,,1.0665262841233234,,-0.09047732530050275,,-0.08606205800674328,,92.50917067543138,,93.10193228321418,,92.50917067543138,,2552483,168.0512867049211,,170.86502536455401,,151.6558295151387,,181.65905658643226,,183.5246822211875,,163.93599511039125,
1827,114.28191263903409,,0.884,,137.2514081902127,,222.90904859972474,,475.3263694289715,,55.4830209420415,,530.809390371013,,0.2422880783521173,,0.28875193344543093,,0.4689599882024519,,200.5652793779299,,196.9827944327032,,69.14120551609504,,28.947774480712162,,34.26844870120088,,529.9055025086412,,474.42248156659974,,0.42976191710955197,,0.42208553561993434,,0.14815254727051363,,39.165671469248274,,3.0570766094200583,,358.76588624646445,,34.38292339057994,,6.9,,-51.52373786903374,,-1.1704448095161961,,34.26844870120088,,423.8458237383637,,55.4830209420415,,479.3288446804052,,0.09610414361570277,,1.0214442193357685,,0.01771150082661189,,-0.13525986377808336,,91.77022671446298,,95.20223165044914,,91.77022671446298,,2569405,184.6429354526047,,184.99472423731234,,164.958744821608,,201.2013504413681,,194.31763418797922,,179.7519203421675,
1828,100.87936948113412,,0.816,,138.9499251871625,,227.00359097025213,,467.6488856385488,,47.751517162673665,,515.4004028012224,,0.21746094688598414,,0.29712446550029525,,0.4854145876137206,,202.33036153450507,,149.2003340678643,,69.91625706915919,,28.11479820627802,,34.32947020826249,,483.8912210860691,,436.1397039233954,,0.4800850029925338,,0.354019249924793,,0.16589574708267305,,36.020473549381826,,0.44780218588753207,,363.10281941896307,,35.25819781411247,,5.7,,-49.222044725241275,,0.2702929816692965,,34.32947020826249,,425.90701143303534,,47.751517162673665,,473.658528595709,,0.09118500486089955,,1.0192701341347885,,0.014556503884700816,,-0.12501164288038866,,91.09510959483359,,90.62915879486631,,91.09510959483359,,2599737,167.7630098442248,,179.88315188749814,,163.82696073988845,,184.16247654829036,,198.4826454084749,,179.8416638045077,
1829,110.57926760640174,,0.612,,140.58275446120302,,227.32345022426045,,479.0974722918652,,51.9249936750984,,531.0224659669636,,0.23208485545643673,,0.29343246957387475,,0.4744826749696886,,203.03496707791226,,146.53699099163828,,70.44618923943631,,27.147017045454543,,33.84311092996573,,481.00827528440715,,429.08328160930876,,0.48339570177797425,,0.3488825231254548,,0.16772177509657096,,33.279380472629214,,1.256165397780925,,375.11514811678774,,35.584834602219075,,28.6,,-62.171365315568465,,-0.2534398699062912,,33.84311092996573,,445.253834333908,,51.9249936750984,,497.1788280090064,,0.08954798186878514,,0.9926686528985685,,0.06951690457499132,,-0.15173353934234515,,92.36268724123828,,91.94248516078271,,92.36268724123828,,2620932,163.7140076924196,,182.796605288449,,169.88377963789523,,177.2512391988139,,198.8162544973489,,183.9311790422282,
1830,108.97407630466087,,1.224,,135.60718646763866,,213.04045101998713,,458.8457137922867,,40.424842263412145,,499.2705560556988,,0.24016368245851386,,0.29553983483220725,,0.4642964827092788,,205.367342182525,,122.17092859946784,,71.11956064752515,,26.722877697841728,,31.58884300952457,,456.96955213688426,,416.54470987347213,,0.5151468903699026,,0.3064556092160138,,0.17839750041408373,,19.57375640173188,,0.009346007319948026,,381.17648343779143,,37.00865399268005,,2.8,,-41.445268171578896,,1.6358071591690626,,31.58884300952457,,432.34762183663804,,40.424842263412145,,472.7724641000502,,0.09236977941778161,,0.9999786929493718,,0.006986746511691299,,-0.09933521887884471,,95.52019322665576,,95.46402590366522,,95.52019322665576,,2646000,157.42430456291464,,173.41107853072057,,163.39668247794333,,164.8073556440252,,181.65070757199513,,171.05983243797084,
