year,agricultureValueAddedCurrentPrices,agricultureValueAddedCurrentPrices_state,fisheriesValueAddedCurrentPrices,fisheriesValueAddedCurrentPrices_state,industryValueAddedCurrentPrices,industryValueAddedCurrentPrices_state,servicesValueAddedCurrentPrices,servicesValueAddedCurrentPrices_state,grossDomesticProductValueAddedCurrentPrices,grossDomesticProductValueAddedCurrentPrices_state,agricultureValueAddedPriceIndex,agricultureValueAddedPriceIndex_state,fisheriesValueAddedPriceIndex,fisheriesValueAddedPriceIndex_state,industryValueAddedPriceIndex,industryValueAddedPriceIndex_state,servicesValueAddedPriceIndex,servicesValueAddedPriceIndex_state,grossDomesticProductValueAddedPriceIndex,grossDomesticProductValueAddedPriceIndex_state,agricultureValueAddedConstant1913Prices,agricultureValueAddedConstant1913Prices_state,fisheriesValueAddedConstant1913Prices,fisheriesValueAddedConstant1913Prices_state,industryValueAddedConstant1913Prices,industryValueAddedConstant1913Prices_state,servicesValueAddedConstant1913Prices,servicesValueAddedConstant1913Prices_state,grossDomesticProductValueAddedConstant1913Prices,grossDomesticProductValueAddedConstant1913Prices_state,housingValueAddedAdjustmentCurrentPrices,housingValueAddedAdjustmentCurrentPrices_state,servicesValueAddedHousingAdjustmentNominal,servicesValueAddedHousingAdjustmentNominal_state,servicesValueAddedHousingAdjustmentReal,servicesValueAddedHousingAdjustmentReal_state,grossDomesticProductValueAddedHousingAdjustmentNominal,grossDomesticProductValueAddedHousingAdjustmentNominal_state,grossDomesticProductValueAddedHousingAdjustmentReal,grossDomesticProductValueAddedHousingAdjustmentReal_state,agricultureEmployment,industryEmployment,servicesEmployment,totalEmployment,agricultureLabourInputManHours,industryLabourInputManHours,servicesLabourInputManHours,totalLabourInput,agricultureRealValueAddedProductivity,agricultureRealValueAddedProductivity_state,industryRealValueAddedProductivity,industryRealValueAddedProductivity_state,servicesRealValueAddedProductivity,servicesRealValueAddedProductivity_state,grossDomesticProductRealValueAddedProductivity,grossDomesticProductRealValueAddedProductivity_state,agricultureRealValueAddedPerWorker,agricultureRealValueAddedPerWorker_state,industryRealValueAddedPerWorker,industryRealValueAddedPerWorker_state,servicesRealValueAddedPerWorker,servicesRealValueAddedPerWorker_state,grossDomesticProductRealValueAddedPerWorker,grossDomesticProductRealValueAddedPerWorker_state,agricultureRealValueAddedPerManHour,agricultureRealValueAddedPerManHour_state,industryRealValueAddedPerManHour,industryRealValueAddedPerManHour_state,servicesRealValueAddedPerManHour,servicesRealValueAddedPerManHour_state,grossDomesticProductRealValueAddedPerManHour,grossDomesticProductRealValueAddedPerManHour_state,agricultureNominalValueAddedPerManHour,agricultureNominalValueAddedPerManHour_state,industryNominalValueAddedPerManHour,industryNominalValueAddedPerManHour_state,servicesNominalValueAddedPerManHour,servicesNominalValueAddedPerManHour_state,agricultureRelativeProductivityWorkerGdp100,agricultureRelativeProductivityWorkerGdp100_state,industryRelativeProductivityWorkerGdp100,industryRelativeProductivityWorkerGdp100_state,servicesRelativeProductivityWorkerGdp100,servicesRelativeProductivityWorkerGdp100_state,relativeProductivityWorkerGdp100StandardDeviationSeries,relativeProductivityWorkerGdp100StandardDeviationSeries_state,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage,relativeProductivityWorkerGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityWorkerIndustry100,agricultureRelativeProductivityWorkerIndustry100_state,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage,agricultureRelativeProductivityWorkerIndustry100FiveYearAverage_state,agricultureRelativeProductivityManHourGdp100,agricultureRelativeProductivityManHourGdp100_state,industryRelativeProductivityManHourGdp100,industryRelativeProductivityManHourGdp100_state,servicesRelativeProductivityManHourGdp100,servicesRelativeProductivityManHourGdp100_state,relativeProductivityManHourGdp100StandardDeviationSeries,relativeProductivityManHourGdp100StandardDeviationSeries_state,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage,relativeProductivityManHourGdp100StandardDeviationFiveYearAverage_state,agricultureRelativeProductivityManHourIndustry100,agricultureRelativeProductivityManHourIndustry100_state,agricultureRelativeProductivityManHourIndustry100FiveYearAverage,agricultureRelativeProductivityManHourIndustry100FiveYearAverage_state
1810,,blank,,blank,,blank,,blank,,blank,68.60873368540479,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,375784,232329,268499,876612,967429.1640371126,745054.8281731504,861048.2389613985,2573532.2311716615,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1811,,blank,,blank,,blank,,blank,,blank,70.9323105141394,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,376167,233874,268759,878800,968758.8240495516,749435.8482730029,861222.8342868555,2579417.50660941,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1812,,blank,,blank,,blank,,blank,,blank,81.34662790593494,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,376575,235445,269038,881058,970153.7160620288,753877.3278101162,861439.6080586889,2585470.651930834,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1813,,blank,,blank,,blank,,blank,,blank,77.31922479702541,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,378077,237714,270098,885889,974368.9080747579,760528.3200433698,864135.8026328869,2599033.0307510146,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1814,120.08635520463257,,1.496,,86.74517762023875,,,blank,,blank,69.0829236174389,,63.9,,154.9,,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,378256,239165,270213,887634,975176.1600872896,764536.3608212969,863787.1915481158,2603499.7124567023,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank,,blank
1815,117.21183072160215,,2.04,,113.76863756058783,,237.9331386190675,,470.9536069012575,,65.72904753198516,,60.6,,154.3,,145.50027153988782,,117.92181436131594,,178.32577090754947,,3.3663366336633667,,73.73210470550086,,163.5276251383764,,399.3778500203887,,18.952979120328582,,218.9801594987389,,150.50154696014235,,452.00062778092894,,383.30535383045043,,383521,243857,273960,901338,989100.6601011842,778871.5489392162,875019.5792919114,2642991.788332312,181.69210754121283,,73.73210470550086,,150.50154696014235,,383.30535383045043,,473.74748068870497,,302.357958580237,,549.3559167766913,,425.2626138368187,,0.1836942536491947,,0.094665294689375,,0.171997919271626,,0.1450270695212074,,0.12056591966019192,,0.14606854970570562,,0.27191750247646934,,62.00469120393114,,93.0327746292075,,159.39190210987906,,49.75028410150287,,,blank,66.64822311390556,,,blank,70.4987373975646,,85.41093832128499,,146.33350423308926,,40.17637082221744,,,blank,82.54064266613476,,,blank
1816,134.7311810306985,,1.768,,124.2860898269643,,247.49089558746692,,508.2761664451297,,79.86164529758165,,57.5,,156.5,,164.2893136902188,,131.75407539000713,,168.70574169698256,,3.074782608695652,,79.41603183831585,,150.6433315888894,,385.7764285017933,,19.33002228498893,,228.160873302478,,138.87748885036694,,488.94614416014076,,371.10513865533517,,388453,248383,277470,914306,1002175.8001153369,792633.6420583084,885455.3518635288,2680264.7940371744,171.7805243056782,,79.41603183831585,,138.87748885036694,,371.10513865533517,,442.2170103092992,,319.7321549313594,,500.51352885128824,,405.88723978114024,,0.17140757568273807,,0.10019260806554788,,0.15684301705115392,,0.13845838645530037,,0.1362028308955268,,0.1568014316225824,,0.2795069170530143,,65.7085842486511,,93.56883037760474,,153.7643584069562,,45.00650744006682,,,blank,70.22486439498998,,,blank,74.66254859715472,,85.95412027525619,,141.25088561246412,,35.63527857377755,,,blank,86.86325723311253,,,blank
1817,158.6264006576458,,1.904,,117.16551490205286,,273.3755817492386,,551.0714973089373,,102.1294589228531,,54.5,,151.2,,163.39012718158665,,140.37131499217256,,155.31894747182548,,3.493577981651376,,77.49041990876513,,167.3146269391281,,392.5812744146953,,19.605776223931617,,253.769805525307,,155.31526286363388,,531.4657210850057,,378.6141927320703,,391045,251447,279308,921800,1009220.952129053,801690.5329119324,890519.9877770107,2701431.472817996,158.81252545347687,,77.49041990876513,,155.31526286363388,,378.6141927320703,,406.1234012798447,,308.17794568543326,,556.0716587553305,,410.7335568800936,,0.15736150257131096,,0.09665876884849985,,0.17440963144616733,,0.1401531730646194,,0.15906368205990057,,0.14614805849893173,,0.30698421764980394,,71.20196805033201,,80.81924564887252,,157.58613982802447,,47.34249888496657,,47.31054708243365,,88.10026309782232,,75.1942520365131,,80.85180658908422,,74.28681648822875,,144.848823525936,,38.982291084177966,,38.279411690635,,108.83735555136589,,92.85150009606474,
1818,140.6721007147372,,0.952,,123.58569365484969,,259.44690266379484,,524.6566970333818,,85.60998579743288,,51.8,,159.1,,151.18428798662424,,130.1255775794135,,164.31739756106282,,1.8378378378378377,,77.67799726891873,,171.60969973728285,,403.19259809870385,,19.89118581172673,,239.55571685206812,,158.45278635916344,,504.76551122165506,,387.90645206827617,,394946,255384,282080,932410,1019650.4881434256,812139.0782500632,897034.2354759024,2728823.8018693915,166.15523539890066,,77.67799726891873,,158.45278635916344,,387.90645206827617,,420.7036794875772,,304.16156559893625,,561.7299573141075,,416.02562399403286,,0.1629531269106096,,0.0956461760666578,,0.17664073464832664,,0.14215152030062891,,0.13889475105592863,,0.15217306612205256,,0.2892274256691561,,66.23944647909342,,89.39058176690817,,156.87418901342838,,47.089752718226755,,46.327506564001304,,74.10114708931769,,75.0674628941081,,75.08819327192604,,82.26661204175531,,144.3721227878868,,38.09830934622841,,37.35514201248423,,91.27420153611556,,92.55541615072495,
1819,122.62240640172054,,0.816,,104.3844113190919,,226.78903496391777,,454.61185268473025,,71.64650340172255,,46,,152.5,,136.91279799994513,,116.74504536979204,,171.1491846492154,,1.7739130434782608,,68.44879430760125,,165.64487635699962,,389.4056927595848,,20.220927171323464,,206.5681077925943,,150.8756747434795,,434.3909255134068,,372.08510574257406,,399419,259730,285261,944410,1031564.5801582922,826465.0822908571,907705.1393345867,2765734.801783736,172.9230976926937,,68.44879430760125,,150.8756747434795,,372.08510574257406,,432.93658462089604,,263.5382678458447,,528.9039677470089,,393.9868338354889,,0.16763186815328507,,0.08282115696632919,,0.16621661397012938,,0.13453390596329087,,0.11966134624628065,,0.12630226437365202,,0.24984879465392307,,67.18950152649421,,87.37624232003768,,157.43478804325096,,47.363692267405234,,47.634419173512654,,76.89676248652992,,71.28497282841406,,76.18749156660681,,80.41571487927371,,144.89328782294905,,38.50480862677364,,38.59797190202143,,94.74204349359495,,87.79625263415696,
1820,114.47140641324741,,0.68,,114.06708972910454,,216.48728099443647,,445.70577713678847,,60.61816685299497,,47.2,,154.2,,121.79279315909565,,105.62947789155564,,188.84009919147152,,1.4406779661016949,,73.97346934442578,,177.75048537694934,,421.95207818254266,,20.496917457310925,,195.99036353712555,,160.92115013825736,,425.20885967947754,,402.54753518332984,,403634,263947,288258,955839,1042820.4481733545,837352.7422042439,914477.6290782276,2794650.8194558257,190.28077715757323,,73.97346934442578,,160.92115013825736,,402.54753518332984,,471.419100367098,,280.2587994727191,,558.2538910915131,,421.14575277147077,,0.18246743961616455,,0.08834206376359183,,0.17597057054360335,,0.14404215810464432,,0.11042304225521389,,0.13622346232345858,,0.2367332716631359,,64.13039966524136,,97.1462571268173,,152.83956431969943,,44.83508150934115,,49.216439787659354,,66.01427740188058,,62.76938644271273,,72.57465090401851,,89.53176819935801,,140.85973921258486,,35.55502243146358,,39.92631838996672,,81.06022293943582,,77.20435858168608,
1821,88.77315695480327,,0.816,,114.81513212553607,,205.69394785988965,,410.09823694022896,,48.42687402160801,,46,,154,,115.13891977838864,,97.643242494994,,183.3138288364283,,1.7739130434782608,,74.55528060099745,,178.64849544862415,,419.99653684304263,,20.92677890216112,,184.76716895772853,,160.4732520622527,,389.17145803806784,,398.56466058879596,,409450,269257,292397,971104,1058221.9441894467,855314.1237336629,928819.9892197856,2842356.057142895,185.0877418799066,,74.55528060099745,,160.4732520622527,,398.56466058879596,,452.03991178387247,,276.89263640684345,,548.8197623855672,,410.4242806010437,,0.1749044639418019,,0.08716713372572962,,0.1727711008858145,,0.14022334027687886,,0.0846600823643142,,0.13423738593762363,,0.22145727939455073,,54.5983270820259,,106.40373889103414,,157.68001536842488,,51.541070487623514,,50.408650191326856,,51.31241406651969,,57.108037272237326,,61.83241163664335,,98.04173433949789,,145.28833609155902,,41.849428021463524,,41.010510751573605,,63.067439650272526,,70.15560771393962,
1822,80.61832045804196,,0.544,,117.90476953618811,,206.87709813725763,,405.9441881314877,,44.070707543591446,,44.8,,150.8,,112.58244076862734,,94.43839326383832,,182.92948979387353,,1.2142857142857144,,78.18618669508494,,183.75609617703972,,429.8507991314259,,21.304099190358404,,185.57299894689922,,164.83298610329268,,384.6400889411293,,407.292072268253,,414750,274276,296167,985193,1072300.164205679,870428.8013655618,939901.0005032679,2882629.9660745086,184.14377550815925,,78.18618669508494,,164.83298610329268,,407.292072268253,,443.9874032746456,,285.06390167234804,,556.5541944352095,,413.41348575177955,,0.1717278255240838,,0.08982490764600559,,0.17537271054614606,,0.1412918331737503,,0.07568992635393659,,0.1354559607301765,,0.22010520046950238,,50.122743168643446,,110.10583570998782,,160.48885958129202,,55.252601955700065,,52.39141632412958,,45.52233116931581,,51.01785814337059,,56.724729457730696,,101.51552651704525,,147.9677346387657,,45.62402352390444,,42.944843550640385,,55.87788528901159,,62.49262808971355,
1823,90.64001743521773,,0.544,,132.41741138521965,,220.94322287130146,,444.54465169173886,,48.46950548993337,,37.3,,144.7,,115.79291134865181,,97.12595097568,,187.00421330694772,,1.4584450402144775,,91.51168720471297,,190.80893665938032,,457.6991496361784,,21.659318574183253,,199.2839042971182,,172.10371686490848,,422.8853331175556,,435.3989112790717,,420409,279583,300193,1000185,1087316.7362224634,884721.4005247831,949940.3446838191,2921978.4814310656,188.4626583471622,,91.51168720471297,,172.10371686490848,,435.3989112790717,,448.2840718137866,,327.31491973658257,,573.310226637225,,435.3183773792565,,0.17332820517590472,,0.10343559808820237,,0.18117318400893057,,0.1490082538410177,,0.08386150456214592,,0.1496713104336288,,0.23258641882911169,,51.298472351402445,,112.01909177932853,,157.0107457544954,,53.050804736564324,,54.100289452488276,,45.794401236940594,,48.461948793707855,,57.94514317736004,,103.41724200992317,,144.95402554984454,,43.51927115426284,,44.73374476554974,,56.030447197383225,,59.16214982762519,
1824,80.4745819525573,,0.816,,117.04919222281039,,214.29924274415697,,412.6390169195247,,40.30981741956645,,33.6,,137.7,,110.15191802876838,,89.2248628615731,,199.64015494025733,,2.4285714285714284,,85.00304446100974,,194.54880730101172,,462.47088948705783,,22.245455921417623,,192.05378682273934,,174.35355666941783,,390.3935609981071,,437.5389868671233,,427259,285737,305070,1018066,1105425.2402403038,898143.3216013219,958911.8074345123,2962480.369276138,202.06872636882875,,85.00304446100974,,174.35355666941783,,437.5389868671233,,472.942000914735,,297.48700539660507,,571.519836986324,,429.774677542638,,0.18279727928494005,,0.09464307356809791,,0.18182439231391473,,0.14769346369509714,,0.07353783774186835,,0.13032351230327083,,0.22348170194868758,,49.6160630403552,,106.82557224936708,,164.17108199306213,,57.27752293141885,,53.8718798407272,,46.44586684219627,,49.15071357812947,,55.80378942529618,,98.89529065655593,,151.98371072804017,,48.176472622107546,,44.59801496995174,,56.42714537246457,,59.89612014237726,
1825,94.93605740207529,,0.884,,121.05230119084527,,224.76222538443656,,441.6345839773571,,47.839222294811066,,35.5,,147.8,,115.54931783317963,,96.50332677863841,,198.44816208973498,,2.4901408450704228,,81.9027748246585,,194.51627201203328,,457.6366418852988,,22.796119097020735,,201.9661062874158,,174.78779630616035,,418.8384648803364,,434.01453489896556,,433255,291377,309336,1033968,1121336.1722581014,912412.3043111977,968648.769691529,3002397.2462608283,200.9383029348054,,81.9027748246585,,174.78779630616035,,434.01453489896556,,463.78761453371663,,281.08867489423835,,565.041884249361,,419.75625444788,,0.1791954169552597,,0.08976509242330845,,0.18044496805774335,,0.1445559995232094,,0.08545167789345165,,0.1326728066016499,,0.23203686663021644,,54.597578604545596,,102.56007297162377,,161.17904058834006,,53.379447151134634,,51.52680464168907,,53.234730653566906,,51.45983697488223,,61.25509090216119,,95.10503513766227,,149.4630207883137,,44.49952850601032,,42.3349719969837,,64.4078316289941,,62.58168429291936,
